"spid","win_model","hill_tp","hill_ga","hill_gw","max_med"
"Levonorgestrel","Hill",5.74226023182812,-2.81393575832587,0.750565300397043,5.8660427003128
"Linuron","Constant",0,0,0,0.0654440325627792
"Malathion","Constant",0,0,0,0.059869635515599
"Mestranol","Gain-Loss",0.222223451865767,-0.267288086804097,7.99999743719484,0.268363525517894
"Metalaxyl","Constant",0,0,0,0.0463273818346465
"Methomyl","Constant",0,0,0,0.0659292149677012
"Methoxychlor","Constant",0,0,0,0.0457016030188995
"Metolachlor","Constant",0,0,0,0.0265254477615177
"Metribuzin","Hill",0.0390433672888016,0.712361155135444,7.99999993761816,0.0412762755785191
"Mifepristone","Hill",4.08409654547113,-0.689053927420482,0.548989136627323,4.00949932891227
"Mono(2-ethylhexyl) phthalate","Constant",0,0,0,0.0246829429078535
"Naringenin","Gain-Loss",0.120629366388134,0.536533433814661,7.99999993625101,0.140907948020977
"Nilutamide","Gain-Loss",6.59944408659876,0.0811976344861931,1.25541168868206,6.04936143088409
"Norethindrone","Gain-Loss",5.41914148533117,-2.07796111184909,0.617070277990009,5.66633282354292
"Norflurazon","Constant",0,0,0,0.124935327865499
"Octamethylcyclotetrasiloxane","Hill",0.242244317786024,2.42188965172311,0.751330654870089,0.113770857390905
"Octylbicycloheptenedicarboximide","Constant",0,0,0,0.115069157725266
"Oxamyl","Constant",0,0,0,0.0988637671314628
"Pentachloronitrobenzene","Gain-Loss",0.296041225503794,0.973157934614028,5.8074603036293,0.246701023702348
"Pentachlorophenol","Constant",0,0,0,0.065799038629067
"Permethrin","Constant",0,0,0,0.00662592430255199
"Phenothrin","Constant",0,0,0,0.0701440649885522
"Phosmet","Hill",0.257462624887596,1.52035688182324,0.300000000145819,0.180683794946258
"Prochloraz","Gain-Loss",1.00259149382655,-0.619922257906079,1.10453527608501,0.899320116609216
"Procymidone","Hill",0.233185501810199,1.62600734304658,7.99999998472522,0.221397527813199
"Propargite","Constant",0,0,0,0.110878360058847
"Propiconazole","Constant",0,0,0,0.053945591171901
"Propyzamide","Gain-Loss",0.0719085434797125,-3.04558807987338,7.93221611842884,0.0929780532700824
"R1881","Hill",6.23074907118888,-3.25147212527481,1.16235948472717,6.23590866731383
"Raloxifene hydrochloride","Constant",0,0,0,0.0639860380249174
"Simazine","Constant",0,0,0,0.110110472306197
"Spironolactone","Hill",3.501247308196,0.607285787572954,1.10863078799854,3.38200939678935
"Tamoxifen","Constant",0,0,0,0.00675082412688876
"Tebuconazole","Constant",0,0,0,0.111578539190009
"Testosterone propionate","Gain-Loss",2.08743740425138,-1.72023304118022,0.976467047730804,2.09979608781893
"Tetramethrin","Hill",0.49410230926552,1.87614488704347,4.52473559258715,0.410243082649613
"Triadimefon","Constant",0,0,0,0.20041483850713
"Tributylchlorostannane",NA,NA,NA,NA,-0.00725150229858604
"Trifluralin","Gain-Loss",0.259251209967214,1.10828603003177,0.300000010547435,0.199792675982243
"Vinclozolin","Hill",2.93518161791864,1.34684768407169,1.7904137605061,2.75248418568873
"Z-Tetrachlorvinphos","Constant",0,0,0,0.0862632387675878
"Zearalenone","Constant",0,0,0,0.296859506541191
"o,p'-DDT","Constant",0,0,0,0.0559587288084416
"p,p'-DDD","Constant",0,0,0,0.299096428099031
"p,p'-DDE","Gain-Loss",2.1335444240876,0.497120097473411,1.40648735153362,1.9608337522804
"p-Dichlorobenzene","Hill",0.0723550392728127,-1.43467315755847,7.99997148112971,0.20203537937126
