"X","m0id","m1id","m2id","m3id","spid","aeid","logc","resp","cndx","wllt","apid","rowi","coli","repi","chmn"
261280,121955777,159975360,159510121,207546272,"TP0000759D04",740,1.47712125471966,0.482425913163344,5,"t","ASC0071007",7,8,3,"4-Cumylphenol"
261284,121957227,159975424,159510185,207546336,"TP0000759D08",740,-0.522878745280338,-0.917431192660551,1,"t","ASC0071009",7,18,1,"Methoxychlor"
261289,121958693,159975504,159510265,207546416,"TP0000759D12",740,1.47712125471966,104.350453172205,5,"t","ASC0071011",7,8,3,"Mifepristone"
261290,121958722,159975520,159510281,207546432,"TP0000759D12",740,-0.522878745280338,65.8536585365854,1,"t","ASC0071488",4,19,5,"Mifepristone"
261291,121959472,159975536,159510297,207546448,"TP0000759E01",740,0.477121254719662,102.027027027027,3,"t","ASC0071006",8,13,2,"Levonorgestrel"
261298,121961681,159975648,159510409,207546560,"TP0000759E07",740,1.30102999566398,56.9954128440367,5,"t","ASC0071009",8,8,3,"Hydroxyflutamide"
261315,121966799,159975920,159510681,207546832,"TP0000759F08",740,0.477121254719662,-0.917431192660551,3,"t","ASC0071009",11,14,3,"Dicyclohexyl phthalate"
261316,121967189,159975936,159510697,207546848,"TP0000759F09",740,1.47712125471966,17.2857142857143,5,"t","ASC0071486",2,8,3,"Estrone"
261317,121967218,159975952,159510713,207546864,"TP0000759F09",740,-0.522878745280338,2.67857142857143,1,"t","ASC0072728",10,19,5,"Estrone"
261321,121969047,159976016,159510777,207546928,"TP0000759G01",740,0.477121254719662,-3.51351351351352,3,"t","ASC0071006",12,12,1,"Ethylparaben"
261328,121971292,159976128,159510889,207547040,"TP0000759G07",740,1.47712125471966,76.4908256880734,5,"t","ASC0071009",12,7,2,"17alpha-Estradiol"
261329,121971321,159976144,159510905,207547056,"TP0000759G07",740,-0.522878745280338,55.3680981595092,1,"t","ASC0071491",14,18,4,"17alpha-Estradiol"
261334,121973129,159976224,159510985,207547136,"TP0000759G11",740,1.47712125471966,20.7250755287009,5,"t","ASC0071011",12,8,3,"Vinclozolin"
261338,121974579,159976288,159511049,207547200,"TP0000759H03",740,-0.522878745280338,-1.17160578911095,1,"t","ASC0071007",14,18,1,"Linuron"
261354,121979344,159976544,159511305,207547456,"TP0000760B03",740,0.477121254719662,-2.25464190981433,3,"t","ASC0071013",2,13,2,"Diethylstilbestrol"
261376,121986393,159976896,159511657,207547808,"TP0000760C08",740,1.47712125471966,-8.43520782396089,5,"t","ASC0071015",5,6,1,"Genistein"
261377,121986407,159976912,159511673,207547824,"TP0000760C08",740,-0.522878745280338,0.733496332518338,1,"t","ASC0071015",5,20,3,"Genistein"
261388,121989995,159977088,159511849,207548000,"TP0000760D05",740,1.30102999566398,-1.87891440501045,5,"t","ASC0072729",6,8,3,"Fulvestrant"
261394,121992225,159977184,159511945,207548096,"TP0000760D11",740,1.47712125471966,4.68029004614369,5,"t","ASC0071017",6,6,1,"Bisphenol B"
261395,121992239,159977200,159511961,207548112,"TP0000760D11",740,-0.522878745280338,0.988793671720495,1,"t","ASC0071017",6,20,3,"Bisphenol B"
261402,121994697,159977312,159512073,207548224,"TP0000760E05",740,0.477121254719662,97.2818311874106,3,"t","ASC0071487",3,12,1,"5alpha-Dihydrotestosterone"
261403,121994709,159977328,159512089,207548240,"TP0000760E05",740,1.47712125471966,90.53583855254,5,"t","ASC0072729",8,6,4,"5alpha-Dihydrotestosterone"
261404,121994723,159977344,159512105,207548256,"TP0000760E05",740,-0.522878745280338,104.175365344468,1,"t","ASC0072729",8,20,6,"5alpha-Dihydrotestosterone"
261410,121997331,159977440,159512201,207548352,"TP0000760E10",740,-0.522878745280338,0.331785003317843,1,"t","ASC0071016",9,18,1,"Methoxychlor"
261414,121998443,159977504,159512265,207548416,"TP0000760F01",740,0.477121254719662,96.3291139240506,3,"t","ASC0071012",10,14,3,"17-Methyltestosterone"
261415,121998455,159977520,159512281,207548432,"TP0000760F01",740,1.47712125471966,88.4285714285714,5,"t","ASC0071486",4,8,6,"17-Methyltestosterone"
261428,122003253,159977728,159512489,207548640,"TP0000760F12",740,-0.522878745280338,49.9011206328279,1,"t","ASC0071017",11,18,1,"17alpha-Estradiol"
261442,122007473,159977952,159512713,207548864,"TP0000760G11",740,1.47712125471966,-0.725115359261709,5,"t","ASC0071017",12,8,3,"Tamoxifen"
261459,122012753,159978224,159512985,207549136,"TP0000761B01",740,0.477121254719662,4.04097894137736,3,"t","ASC0071126",2,14,3,"Bisphenol A"
261472,122017120,159978432,159513193,207549344,"TP0000761C01",740,1.47712125471966,24.9857712009106,5,"t","ASC0071126",4,7,2,"Vinclozolin"
261477,122018567,159978512,159513273,207549424,"TP0000761C05",740,0.477121254719662,0,3,"t","ASC0071128",4,14,3,"Atrazine"
261482,122020371,159978592,159513353,207549504,"TP0000761C10",740,-0.522878745280338,-3.36239103362391,1,"t","ASC0071130",5,18,1,"4-Hydroxybenzoic acid"
261489,122022526,159978704,159513465,207549616,"TP0000761D04",740,0.301029995663981,-2.06819452207937,3,"t","ASC0071127",7,13,2,"o,p'-DDT"
261500,122026239,159978880,159513641,207549792,"TP0000761E01",740,-0.522878745280338,1.99203187250997,1,"t","ASC0071126",8,18,1,"Bisphenol AF"
261501,122026251,159978896,159513657,207549808,"TP0000761E01",740,0.477121254719662,-2.44242847173762,3,"t","ASC0071490",6,12,4,"Bisphenol AF"
261505,122027723,159978960,159513721,207549872,"TP0000761E04",740,1.47712125471966,118.781442146451,5,"t","ASC0071127",9,8,3,"Mifepristone"
261509,122029101,159979024,159513785,207549936,"TP0000761E07",740,-0.522878745280338,0.793650793650794,1,"t","ASC0071129",8,18,1,"Bisphenol AF"
261510,122029509,159979040,159513801,207549952,"TP0000761E08",740,0.477121254719662,12.0181405895692,3,"t","ASC0071129",9,12,1,"p,p'-DDE"
261519,122032389,159979184,159513945,207550096,"TP0000761F04",740,0.477121254719662,-1.84460592509782,3,"t","ASC0071127",11,12,1,"Amitrole"
261556,122044119,159979776,159514537,207550688,"TP0000761H10",740,1,1.2453300124533,5,"t","ASC0071130",15,6,1,"Anastrozole"
261557,122044133,159979792,159514553,207550704,"TP0000761H10",740,-1,0.24906600249066,1,"t","ASC0071130",15,20,3,"Anastrozole"
261564,122046681,159979904,159514665,207550816,"TP0000762B05",740,0.477121254719662,58.9127686472819,3,"t","ASC0071134",2,12,1,"Spironolactone"
261565,122046693,159979920,159514681,207550832,"TP0000762B05",740,1.47712125471966,97.239263803681,5,"t","ASC0071491",5,6,4,"Spironolactone"
261566,122046707,159979936,159514697,207550848,"TP0000762B05",740,-0.522878745280338,58.2822085889571,1,"t","ASC0071491",5,20,6,"Spironolactone"
261580,122051770,159980160,159514921,207551072,"TP0000762C06",740,1.47712125471966,78.2553729456384,5,"t","ASC0071134",5,7,2,"17beta-Estradiol"
261596,122056912,159980416,159515177,207551328,"TP0000762D08",740,-0.522878745280338,3.29670329670329,1,"t","ASC0071135",7,19,2,"Raloxifene hydrochloride"
261597,122056924,159980432,159515193,207551344,"TP0000762D08",740,0.477121254719662,-7.24841660802253,3,"t","ASC0071489",3,13,5,"Raloxifene hydrochloride"
261606,122060200,159980576,159515337,207551488,"TP0000762E04",740,0.477121254719662,99.7476340694006,3,"t","ASC0071133",9,13,2,"17-Methyltestosterone"
261609,122061333,159980624,159515385,207551536,"TP0000762E07",740,0.477121254719662,0.3996003996004,3,"t","ASC0071135",8,12,1,"Tamoxifen"
261616,122063470,159980736,159515497,207551648,"TP0000762F01",740,1.47712125471966,32.6139088729017,5,"t","ASC0071132",10,7,2,"Corticosterone"
261617,122063499,159980752,159515513,207551664,"TP0000762F01",740,-0.522878745280338,4.75460122699385,1,"t","ASC0071491",10,18,4,"Corticosterone"
261641,122071150,159981136,159515897,207552048,"TP0000762G09",740,-0.522878745280338,103.603603603604,1,"t","ASC0071136",12,19,2,"5alpha-Dihydrotestosterone"
261645,122072637,159981200,159515961,207552112,"TP0000762H01",740,0.301029995663981,-4.91606714628298,3,"t","ASC0071132",14,12,1,"o,p'-DDT"
261650,122074084,159981280,159516041,207552192,"TP0000762H05",740,-0.522878745280338,1.01137800252845,1,"t","ASC0071134",14,19,2,"p,p'-DDE"
261658,122076449,159981408,159516169,207552320,"TP0000762H11",740,1.47712125471966,-0.254712175241971,5,"t","ASC0071137",14,8,3,"Tamoxifen"
261666,122078993,159981536,159516297,207552448,"TP0000763B06",740,0.477121254719662,83.4001144819691,3,"t","ASC0071140",3,14,3,"5alpha-Dihydrotestosterone"
261672,122081223,159981632,159516393,207552544,"TP0000763B12",740,0.477121254719662,89.3416927899686,3,"t","ASC0071143",3,12,1,"Testosterone propionate"
261679,122083432,159981744,159516505,207552656,"TP0000763C06",740,1.47712125471966,107.441327990841,5,"t","ASC0071140",5,7,2,"Mifepristone"
261685,122085233,159981840,159516601,207552752,"TP0000763C11",740,1.47712125471966,85.3291536050157,5,"t","ASC0071143",4,8,3,"4-(1,1,3,3-Tetramethylbutyl)phenol"
261688,122086312,159981888,159516649,207552800,"TP0000763D02",740,1.47712125471966,-2.04319906596615,5,"t","ASC0071138",7,7,2,"Butylparaben"
261691,122087391,159981936,159516697,207552848,"TP0000763D05",740,1.47712125471966,79.965655409273,5,"t","ASC0071140",6,6,1,"4-(1,1,3,3-Tetramethylbutyl)phenol"
261692,122087405,159981952,159516713,207552864,"TP0000763D05",740,-0.522878745280338,-2.46136233543218,1,"t","ASC0071140",6,20,3,"4-(1,1,3,3-Tetramethylbutyl)phenol"
261696,122088838,159982016,159516777,207552928,"TP0000763D09",740,0.301029995663981,-1.07142857142857,3,"t","ASC0071142",6,13,2,"o,p'-DDT"
261700,122090289,159982080,159516841,207552992,"TP0000763E01",740,1.47712125471966,17.9217746643316,5,"t","ASC0071138",8,6,1,"Estrone"
261701,122090303,159982096,159516857,207553008,"TP0000763E01",740,-0.522878745280338,7.18038528896671,1,"t","ASC0071138",8,20,3,"Estrone"
261702,122090729,159982112,159516873,207553024,"TP0000763E02",740,0.477121254719662,31.4652656158786,3,"t","ASC0071138",9,14,3,"17alpha-Ethinylestradiol"
261705,122091862,159982160,159516921,207553072,"TP0000763E05",740,0.301029995663981,19.6336576989124,3,"t","ASC0071140",8,13,2,"Bicalutamide"
261720,122096579,159982400,159517161,207553312,"TP0000763F06",740,0.477121254719662,-0.286204922724678,3,"t","ASC0071140",11,14,3,"Procymidone"
261721,122096591,159982416,159517177,207553328,"TP0000763F06",740,1.47712125471966,2.04081632653061,5,"t","ASC0071489",11,8,6,"Procymidone"
261734,122101317,159982624,159517385,207553536,"TP0000763G06",740,-0.522878745280338,86.1476817401259,1,"t","ASC0071140",13,18,1,"17-Methyltestosterone"
261741,122103544,159982736,159517497,207553648,"TP0000763G12",740,0.477121254719662,92.6018808777429,3,"t","ASC0071143",13,13,2,"Norethindrone"
261748,122105771,159982848,159517609,207553760,"TP0000763H06",740,1.47712125471966,5.09444762449913,5,"t","ASC0071140",15,8,3,"Diethylstilbestrol"
261759,122109448,159983024,159517785,207553936,"TP0000764B04",740,0.477121254719662,1.25628140703518,3,"t","ASC0071325",3,13,2,"Procymidone"
261771,122113317,159983216,159517977,207554128,"TP0000764C02",740,0.477121254719662,-1.52866242038217,3,"t","ASC0071324",5,12,1,"Apigenin"
261775,122114393,159983280,159518041,207554192,"TP0000764C05",740,1.47712125471966,-0.917431192660551,5,"t","ASC0072725",4,8,3,"4,4'-Sulfonyldiphenol"
261780,122116287,159983360,159518121,207554272,"TP0000764C10",740,0.477121254719662,62.2795115332429,3,"t","ASC0071328",5,12,1,"Spironolactone"
261787,122118496,159983472,159518233,207554384,"TP0000764D04",740,1.47712125471966,0,5,"t","ASC0071325",7,7,2,"Butylparaben"
261796,122121376,159983616,159518377,207554528,"TP0000764D12",740,1.30102999566398,60.16713091922,5,"t","ASC0071329",7,7,2,"Hydroxyflutamide"
261804,122123740,159983744,159518505,207554656,"TP0000764E06",740,0.477121254719662,-2.76073619631902,3,"t","ASC0071491",12,13,2,"4-Nonylphenol"
261805,122123752,159983760,159518521,207554672,"TP0000764E06",740,1.47712125471966,-1.26146788990826,5,"t","ASC0072725",9,7,5,"4-Nonylphenol"
261810,122125433,159983840,159518601,207554752,"TP0000764E10",740,0.477121254719662,99.3215739484396,3,"t","ASC0071328",9,14,3,"Norethindrone"
261811,122125841,159983856,159518617,207554768,"TP0000764E11",740,1.47712125471966,76.4623955431755,5,"t","ASC0071329",8,8,3,"4-Dodecylphenol"
261821,122129146,159984016,159518777,207554928,"TP0000764F08",740,-0.522878745280338,0.281690140845071,1,"t","ASC0071327",11,19,2,"2,2',4,4'-Tetrahydroxybenzophenone"
261822,122129158,159984032,159518793,207554944,"TP0000764F08",740,0.477121254719662,4.14285714285713,3,"t","ASC0071486",14,13,5,"2,2',4,4'-Tetrahydroxybenzophenone"
261829,122131529,159984144,159518905,207555056,"TP0000764G02",740,1.47712125471966,41.2738853503185,5,"t","ASC0071324",13,8,3,"Equilin"
261840,122135152,159984320,159519081,207555232,"TP0000764G12",740,0.477121254719662,32.1727019498607,3,"t","ASC0071329",13,13,2,"17alpha-Ethinylestradiol"
261850,122138440,159984480,159519241,207555392,"TP0000764H09",740,1.47712125471966,67.9782903663501,5,"t","ASC0071328",14,7,2,"4-Androstene-3,17-dione"
261877,122146792,159984912,159519673,207555824,"TP0000765C07",740,1.47712125471966,32.9368029739777,5,"t","ASC0071333",4,7,2,"4-(1,1,3,3-Tetramethylbutyl)phenol"
261882,122148239,159984992,159519753,207555904,"TP0000765C11",740,0.477121254719662,12.4050632911392,3,"t","ASC0071335",4,14,3,"Corticosterone"
261891,122151137,159985136,159519897,207556048,"TP0000765D07",740,0.477121254719662,72.7881040892193,3,"t","ASC0071333",6,14,3,"17alpha-Estradiol"
261913,122158366,159985488,159520249,207556400,"TP0000765F03",740,1.47712125471966,61.7052023121387,5,"t","ASC0071331",10,7,2,"Cyproterone acetate"
261914,122158395,159985504,159520265,207556416,"TP0000765F03",740,-0.522878745280338,40.7142857142857,1,"t","ASC0071486",7,18,4,"Cyproterone acetate"
261928,122162921,159985728,159520489,207556640,"TP0000765G03",740,1.47712125471966,61.271676300578,5,"t","ASC0071331",12,8,3,"Cyproterone acetate"
261932,122164371,159985792,159520553,207556704,"TP0000765G07",740,-0.522878745280338,30.4089219330855,1,"t","ASC0071333",12,18,1,"4-Androstene-3,17-dione"
261939,122166544,159985904,159520665,207556816,"TP0000765H01",740,0.477121254719662,0.547945205479453,3,"t","ASC0071330",14,13,2,"Bisphenol B"
261949,122169760,159986064,159520825,207556976,"TP0000765H09",740,1.47712125471966,8.72894333843797,5,"t","ASC0071334",14,7,2,"Bisphenol B"
261972,122176841,159986432,159521193,207557344,"TP0000766C04",740,0.477121254719662,71.8728870858688,3,"t","ASC0071337",5,14,3,"17beta-Estradiol"
261977,122178699,159986512,159521273,207557424,"TP0000766C09",740,-0.522878745280338,0.620261888352853,1,"t","ASC0071340",4,18,1,"2,2',4,4'-Tetrahydroxybenzophenone"
261984,122180926,159986624,159521385,207557536,"TP0000766D03",740,0.477121254719662,6.42325895875591,3,"t","ASC0071337",6,13,2,"2,2',4,4'-Tetrahydroxybenzophenone"
261988,122182359,159986688,159521449,207557600,"TP0000766D07",740,1.47712125471966,-1.54696132596685,5,"t","ASC0073216",6,6,1,"Deltamethrin"
261989,122182373,159986704,159521465,207557616,"TP0000766D07",740,-0.522878745280338,0.552486187845304,1,"t","ASC0073216",6,20,3,"Deltamethrin"
261992,122183470,159986752,159521513,207557664,"TP0000766D10",740,-0.522878745280338,93.7973811164714,1,"t","ASC0071340",7,19,2,"Testosterone propionate"
262003,122187130,159986928,159521689,207557840,"TP0000766E08",740,1.47712125471966,13.8121546961326,5,"t","ASC0073216",9,7,2,"Bisphenol AF"
262004,122187573,159986944,159521705,207557856,"TP0000766E09",740,-0.522878745280338,108.270158511371,1,"t","ASC0071340",8,18,1,"17beta-Trenbolone"
262013,122190543,159987088,159521849,207558000,"TP0000766F05",740,-0.522878745280338,100.637755102041,1,"t","ASC0071338",10,18,1,"17beta-Trenbolone"
262014,122190555,159987104,159521865,207558016,"TP0000766F05",740,0.477121254719662,114.489164086687,3,"t","ASC0071482",14,12,4,"17beta-Trenbolone"
262026,122194607,159987296,159522057,207558208,"TP0000766G03",740,0.477121254719662,-0.878972278566607,3,"t","ASC0071337",12,14,3,"Butylparaben"
262031,122196429,159987376,159522137,207558288,"TP0000766G08",740,-0.522878745280338,5.41436464088397,1,"t","ASC0073216",13,18,1,"Estrone"
262033,122197191,159987408,159522169,207558320,"TP0000766G10",740,1.47712125471966,7.64989662301859,5,"t","ASC0071340",13,6,1,"Mestranol"
262034,122197205,159987424,159522185,207558336,"TP0000766G10",740,-0.522878745280338,2.41212956581666,1,"t","ASC0071340",13,20,3,"Mestranol"
262035,122197577,159987440,159522201,207558352,"TP0000766G11",740,0.477121254719662,2.9663810151615,3,"t","ASC0071341",12,14,3,"Bisphenol A"
262059,122205405,159987824,159522585,207558736,"TP0000767B08",740,0.477121254719662,6.4638783269962,3,"t","ASC0071471",3,12,1,"Corticosterone"
262060,122205759,159987840,159522601,207558752,"TP0000767B09",740,1.47712125471966,3.04568527918782,5,"t","ASC0071472",2,6,1,"2,4-Dihydroxybenzophenone"
262061,122205773,159987856,159522617,207558768,"TP0000767B09",740,-0.522878745280338,6.59898477157361,1,"t","ASC0071472",2,20,3,"2,4-Dihydroxybenzophenone"
262073,122209732,159988048,159522809,207558960,"TP0000767C08",740,-0.522878745280338,-1.26742712294043,1,"t","ASC0071471",5,19,2,"Methoxychlor"
262076,122210811,159988096,159522857,207559008,"TP0000767C11",740,-1,-0.923482849604223,1,"t","ASC0071473",4,18,1,"Zearalenone"
262080,122211905,159988160,159522921,207559072,"TP0000767D02",740,0.477121254719662,33.3762886597938,3,"t","ASC0071342",7,14,3,"17alpha-Ethinylestradiol"
262100,122218462,159988480,159523241,207559392,"TP0000767E08",740,-0.522878745280338,102.027883396705,1,"t","ASC0071471",9,19,2,"Levonorgestrel"
262110,122221840,159988640,159523401,207559552,"TP0000767F05",740,0.477121254719662,2.87671232876713,3,"t","ASC0071344",10,13,2,"Ethylparaben"
262123,122226279,159988848,159523609,207559760,"TP0000767G05",740,1.47712125471966,87.2602739726027,5,"t","ASC0071344",12,6,1,"Spironolactone"
262124,122226293,159988864,159523625,207559776,"TP0000767G05",740,-0.522878745280338,54.1095890410959,1,"t","ASC0071344",12,20,3,"Spironolactone"
262138,122230978,159989088,159523849,207560000,"TP0000767H06",740,1.47712125471966,-8.21917808219179,5,"t","ASC0071344",15,7,2,"Genistein"
262156,122236792,159989376,159524137,207560288,"TP0000768B10",740,1.47712125471966,117.176128093159,5,"t","ASC0071478",3,7,2,"17beta-Trenbolone"
262180,122244209,159989760,159524521,207560672,"TP0000768D06",740,1.47712125471966,70.7006369426752,5,"t","ASC0071476",7,8,3,"Cyproterone acetate"
262195,122249121,159990000,159524761,207560912,"TP0000768E07",740,1.47712125471966,76.6217084136159,5,"t","ASC0071477",8,6,1,"17beta-Estradiol"
262196,122249135,159990016,159524777,207560928,"TP0000768E07",740,-0.522878745280338,47.077713551702,1,"t","ASC0071477",8,20,3,"17beta-Estradiol"
262200,122250640,159990080,159524841,207560992,"TP0000768E11",740,0.477121254719662,5.88235294117646,3,"t","ASC0071479",8,13,2,"Raloxifene hydrochloride"
262210,122253928,159990240,159525001,207561152,"TP0000768F08",740,1.47712125471966,-9.31278098908157,5,"t","ASC0071477",11,7,2,"Genistein"
262216,122255747,159990336,159525097,207561248,"TP0000768G01",740,1.47712125471966,3.54223433242507,5,"t","ASC0071474",12,8,3,"Raloxifene hydrochloride"
262219,122256880,159990384,159525145,207561296,"TP0000768G04",740,1.47712125471966,-0.211714890613981,5,"t","ASC0071475",13,7,2,"4-Nonylphenol"
262224,122258327,159990464,159525225,207561376,"TP0000768G08",740,0.301029995663981,2.50481695568402,3,"t","ASC0071477",13,14,3,"Fulvestrant"
262225,122258681,159990480,159525241,207561392,"TP0000768G09",740,1.47712125471966,6.84133915574963,5,"t","ASC0071478",12,8,3,"Procymidone"
262244,122264668,159990784,159525545,207561696,"TP0000769B01",740,-0.522878745280338,24.7076023391813,1,"t","ASC0071480",2,19,2,"4-Androstene-3,17-dione"
262255,122268256,159990960,159525721,207561872,"TP0000769B11",740,1.47712125471966,1.80645161290323,5,"t","ASC0071485",2,7,2,"4-Cumylphenol"
262261,122270057,159991056,159525817,207561968,"TP0000769C04",740,1.30102999566398,0.786163522012579,5,"t","ASC0071481",5,8,3,"Kaempferol"
262266,122271879,159991136,159525897,207562048,"TP0000769C09",740,0.477121254719662,-1.54905335628228,3,"t","ASC0071484",4,12,1,"Ethylparaben"
262294,122281089,159991584,159526345,207562496,"TP0000769E10",740,1.47712125471966,6.1388410786001,5,"t","ASC0071484",9,6,1,"Bisphenol A"
262295,122281103,159991600,159526361,207562512,"TP0000769E10",740,-0.522878745280338,-2.23752151462996,1,"t","ASC0071484",9,20,3,"Bisphenol A"
262301,122283315,159991696,159526457,207562608,"TP0000769F04",740,-0.522878745280338,4.0880503144654,1,"t","ASC0071481",11,18,1,"Linuron"
262303,122284023,159991728,159526489,207562640,"TP0000769F06",740,1.47712125471966,5.38699690402477,5,"t","ASC0071482",11,6,1,"Z-Tetrachlorvinphos"
262304,122284037,159991744,159526505,207562656,"TP0000769F06",740,-0.522878745280338,-1.05263157894736,1,"t","ASC0071482",11,20,3,"Z-Tetrachlorvinphos"
262306,122284745,159991776,159526537,207562688,"TP0000769F08",740,1.47712125471966,-1.08757870635376,5,"t","ASC0071483",11,8,3,"Atrazine"
262310,122286195,159991840,159526601,207562752,"TP0000769F12",740,-0.522878745280338,4.51612903225805,1,"t","ASC0071485",11,18,1,"p,p'-DDE"
262314,122287271,159991904,159526665,207562816,"TP0000769G03",740,0.477121254719662,0.628930817610063,3,"t","ASC0071481",12,14,3,"4-Nonylphenol"
262393,122310159,159993168,159527929,207564080,"TP0000813C04",740,1.47712125471966,-4.54545454545454,5,"t","ASC0074193",5,5,1,"Chlorpyrifos"
262394,122310173,159993184,159527945,207564096,"TP0000813C04",740,-0.522878745280338,0.202020202020202,1,"t","ASC0074193",5,20,3,"Chlorpyrifos"
262406,122314114,159993376,159528137,207564288,"TP0000813D03",740,-2.52287874528034,1.71717171717172,1,"t","ASC0074193",6,19,2,"Raloxifene hydrochloride"
262413,122316197,159993488,159528249,207564400,"TP0000813D09",740,-1.52287874528034,-0.824499411071837,3,"t","ASC0074196",6,14,3,"Fulvestrant"
262414,122316497,159993504,159528265,207564416,"TP0000813D10",740,1.47712125471966,6.5959952885748,5,"t","ASC0074196",7,7,3,"Bifenthrin"
262425,122320012,159993680,159528441,207564592,"TP0000813E08",740,-1.52287874528034,76.1630946157867,3,"t","ASC0074195",9,13,2,"Testosterone propionate"
262440,122324549,159993920,159528681,207564832,"TP0000813F09",740,-1.52287874528034,1.17785630153121,3,"t","ASC0074196",10,14,3,"Bisphenol A"
262446,122326653,159994016,159528777,207564928,"TP0000813G03",740,0.477121254719662,-0.505050505050506,3,"t","ASC0074193",12,12,1,"Diazinon"
262467,122333117,159994352,159529113,207565264,"TP0000813H09",740,-1.52287874528034,100.117785630153,3,"t","ASC0074196",14,14,3,"5alpha-Dihydrotestosterone"
262471,122334478,159994416,159529177,207565328,"TP0000814B01",740,-0.522878745280338,-0.393922341024192,5,"t","ASC0074198",2,6,2,"Diethylstilbestrol"
262496,122342284,159994816,159529577,207565728,"TP0000814C11",740,-0.522878745280338,-5.00000000000001,1,"t","ASC0074203",4,19,2,"Cyfluthrin"
262505,122345146,159994960,159529721,207565872,"TP0000814D07",740,-2.52287874528034,34.0775558166862,1,"t","ASC0074201",6,19,2,"Norethindrone"
262528,122352621,159995328,159530089,207566240,"TP0000814F04",740,-0.522878745280338,107.386990077178,5,"t","ASC0074199",11,5,1,"Levonorgestrel"
262529,122352635,159995344,159530105,207566256,"TP0000814F04",740,-2.52287874528034,50.606394707828,1,"t","ASC0074199",11,20,3,"Levonorgestrel"
262544,122357601,159995584,159530345,207566496,"TP0000814G06",740,-2.52287874528034,63.2855567805954,1,"t","ASC0074200",13,18,1,"Levonorgestrel"
262566,122364293,159995936,159530697,207566848,"TP0000815B01",740,-1.52287874528034,8.37487537387836,3,"t","ASC0074204",2,14,3,"17alpha-Ethinylestradiol"
262569,122365318,159995984,159530745,207566896,"TP0000815B04",740,0.477121254719662,1.85995623632384,3,"t","ASC0074205",3,13,2,"Metalaxyl"
262603,122376041,159996528,159531289,207567440,"TP0000815D10",740,1.47712125471966,8.67882808181316,5,"t","ASC0074208",7,7,3,"p,p'-DDD"
262620,122381429,159996800,159531561,207567712,"TP0000815F01",740,-1.52287874528034,2.59222333000996,3,"t","ASC0074204",10,14,3,"Ethylparaben"
262629,122384255,159996944,159531705,207567856,"TP0000815F09",740,0.477121254719662,-2.04532891100055,3,"t","ASC0074208",10,14,3,"Esfenvalerate"
